id,x,y,z
1,-96.8006,67.6718,3.25439
8,-101.337,100.484,12.3969
5,-96.5872,104.485,8.55857
7,-103.102,99.9196,20.3373
6,-104.48,100.84,23.8
2,-72.1244,75.1106,23.7282
9,-71.5982,73.9414,20.2155
0,-70.4037,74.8482,15.7242
3,-61.3948,80.3322,7.87164
4,-78.4047,109.944,4.02379
